,epoch,timestamp,location-long,location-lat,height-above-msl
0,1022831497,2002-05-31 07:51:37,8.53253,50.12359,232.0
1,1022831498,2002-05-31 07:51:38,8.53255,50.12359,232.0
2,1022831499,2002-05-31 07:51:39,8.53255,50.12359,231.0
3,1022831500,2002-05-31 07:51:40,8.53263,50.12364,232.0
4,1022831501,2002-05-31 07:51:41,8.53255,50.12378,233.0
5,1022831502,2002-05-31 07:51:42,8.53246,50.12392,233.0
6,1022831503,2002-05-31 07:51:43,8.5323,50.12404,233.0
7,1022831504,2002-05-31 07:51:44,8.53211,50.12411,235.0
8,1022831505,2002-05-31 07:51:45,8.53194,50.12412,237.0
9,1022831506,2002-05-31 07:51:46,8.53176,50.12412,238.0
10,1022831507,2002-05-31 07:51:47,8.53159,50.12413,241.0
11,1022831508,2002-05-31 07:51:48,8.53142,50.12417,243.0
12,1022831509,2002-05-31 07:51:49,8.53125,50.1242,245.0
13,1022831510,2002-05-31 07:51:50,8.53109,50.12423,247.0
14,1022831511,2002-05-31 07:51:51,8.53092,50.12426,249.0
15,1022831512,2002-05-31 07:51:52,8.53074,50.1243,250.0
16,1022831513,2002-05-31 07:51:53,8.53056,50.12435,251.0
17,1022831514,2002-05-31 07:51:54,8.53039,50.12438,251.0
18,1022831515,2002-05-31 07:51:55,8.53018,50.12444,252.0
19,1022831516,2002-05-31 07:51:56,8.53005,50.12456,253.0
20,1022831517,2002-05-31 07:51:57,8.52992,50.12469,254.0
21,1022831518,2002-05-31 07:51:58,8.52979,50.12481,256.0
22,1022831519,2002-05-31 07:51:59,8.52964,50.12492,256.0
23,1022831520,2002-05-31 07:52:00,8.52948,50.12501,255.0
24,1022831521,2002-05-31 07:52:01,8.52934,50.12513,256.0
25,1022831522,2002-05-31 07:52:02,8.52919,50.12526,256.0
26,1022831523,2002-05-31 07:52:03,8.52906,50.12537,258.0
27,1022831524,2002-05-31 07:52:04,8.5289,50.12548,259.0
28,1022831525,2002-05-31 07:52:05,8.5288,50.12562,261.0
29,1022831526,2002-05-31 07:52:06,8.52871,50.12575,261.0
30,1022831527,2002-05-31 07:52:07,8.52858,50.12588,262.0
31,1022831528,2002-05-31 07:52:08,8.52853,50.12604,262.0
32,1022831529,2002-05-31 07:52:09,8.52846,50.12618,262.0
33,1022831530,2002-05-31 07:52:10,8.5284,50.12632,263.0
34,1022831531,2002-05-31 07:52:11,8.52836,50.12648,264.0
35,1022831532,2002-05-31 07:52:12,8.52825,50.12661,265.0
36,1022831533,2002-05-31 07:52:13,8.52814,50.12673,265.0
37,1022831534,2002-05-31 07:52:14,8.528,50.12686,264.0
38,1022831535,2002-05-31 07:52:15,8.52783,50.12696,265.0
39,1022831536,2002-05-31 07:52:16,8.52771,50.12708,265.0
40,1022831537,2002-05-31 07:52:17,8.52761,50.12722,264.0
41,1022831538,2002-05-31 07:52:18,8.52753,50.12737,263.0
42,1022831539,2002-05-31 07:52:19,8.52744,50.12751,263.0
43,1022831540,2002-05-31 07:52:20,8.52735,50.12764,264.0
44,1022831541,2002-05-31 07:52:21,8.5273,50.1278,264.0
45,1022831542,2002-05-31 07:52:22,8.52725,50.12795,264.0
46,1022831543,2002-05-31 07:52:23,8.52713,50.12809,264.0
47,1022831544,2002-05-31 07:52:24,8.52698,50.12821,266.0
48,1022831545,2002-05-31 07:52:25,8.52689,50.12835,266.0
49,1022831546,2002-05-31 07:52:26,8.52686,50.1285,267.0
50,1022831547,2002-05-31 07:52:27,8.52687,50.12866,268.0
51,1022831548,2002-05-31 07:52:28,8.52693,50.1288,268.0
52,1022831549,2002-05-31 07:52:29,8.52704,50.12896,268.0
53,1022831550,2002-05-31 07:52:30,8.52708,50.1291,268.0
54,1022831551,2002-05-31 07:52:31,8.52707,50.12926,266.0
55,1022831552,2002-05-31 07:52:32,8.52694,50.1294,265.0
56,1022831553,2002-05-31 07:52:33,8.52674,50.12952,263.0
57,1022831554,2002-05-31 07:52:34,8.52654,50.1296,263.0
58,1022831555,2002-05-31 07:52:35,8.52633,50.1296,263.0
59,1022831556,2002-05-31 07:52:36,8.52615,50.12955,263.0
60,1022831557,2002-05-31 07:52:37,8.52604,50.12942,263.0
