,Dynamic Overlap,Static Overlap,No Overlap Static
avg_height,68.44919786096256,56.30252100840336,56.09756097560976
turn_rate,0.0,0.0,0.0
bearing,100.0,100.0,100.0
trajectory_curvature,2.6737967914438503,11.344537815126051,8.536585365853659
angular_acceleration,0.0,0.0,0.0
angular_velocity,0.0,0.0,0.0
distance_traveled,43.31550802139038,45.79831932773109,47.5609756097561
displacement,5.347593582887701,12.184873949579831,9.75609756097561
jerk,0.0,0.0,0.0
vertical_acceleration,1.06951871657754,0.8403361344537815,0.0
up_down_direction,100.0,100.0,100.0
angle_to_horizon,94.6524064171123,94.9579831932773,92.6829268292683
average_speed,0.0,0.0,0.0
average_velocity_magnitude,0.0,0.0,0.0
average_velocity_direction,100.0,100.0,100.0
