,Unnamed: 0,epoch,timestamp,location-long,location-lat,height-above-ellipsoid,height-above-msl
0,0,1329184844,2012-02-14 02:00:44,36.701858,3.985513,670.0,670.0
1,1,1329185110,2012-02-14 02:05:10,36.70185,3.985472,667.9,667.9
2,2,1329185412,2012-02-14 02:10:12,36.701815,3.985495,668.8,668.8
3,3,1329185711,2012-02-14 02:15:11,36.701855,3.985515,666.7,666.7
4,4,1329186010,2012-02-14 02:20:10,36.701822,3.985484,667.6,667.6
5,5,1329186312,2012-02-14 02:25:12,36.70184,3.985496,670.1,670.1
6,6,1329186611,2012-02-14 02:30:11,36.701825,3.98547,661.2,661.2
7,7,1329186910,2012-02-14 02:35:10,36.701819,3.985486,660.4,660.4
8,8,1329187212,2012-02-14 02:40:12,36.701837,3.98548,671.5,671.5
9,9,1329187510,2012-02-14 02:45:10,36.701839,3.985476,667.6,667.6
10,10,1329187811,2012-02-14 02:50:11,36.701852,3.985494,671.9,671.9
11,11,1329188110,2012-02-14 02:55:10,36.701808,3.985497,666.9,666.9
12,12,1329188411,2012-02-14 03:00:11,36.701855,3.985496,664.3,664.3
13,13,1329188712,2012-02-14 03:05:12,36.701836,3.985473,667.9,667.9
14,14,1329189011,2012-02-14 03:10:11,36.701838,3.985482,669.7,669.7
15,15,1329189310,2012-02-14 03:15:10,36.701834,3.985511,661.0,661.0
16,16,1329189610,2012-02-14 03:20:10,36.701842,3.985529,670.9,670.9
17,17,1329189910,2012-02-14 03:25:10,36.701751,3.985478,646.1,646.1
18,18,1329190212,2012-02-14 03:30:12,36.701808,3.985532,668.1,668.1
19,19,1329190511,2012-02-14 03:35:11,36.703101,3.970574,657.0,657.0
20,20,1329190812,2012-02-14 03:40:12,36.704966,3.963166,642.2,642.2
21,21,1329191110,2012-02-14 03:45:10,36.705714,3.960221,640.3,640.3
22,22,1329191411,2012-02-14 03:50:11,36.705785,3.95939,644.0,644.0
23,23,1329191710,2012-02-14 03:55:10,36.705846,3.958731,647.7,647.7
24,24,1329192010,2012-02-14 04:00:10,36.705715,3.958089,635.7,635.7
25,25,1329192311,2012-02-14 04:05:11,36.705683,3.957569,645.3,645.3
26,26,1329192610,2012-02-14 04:10:10,36.705762,3.957176,645.2,645.2
27,27,1329192910,2012-02-14 04:15:10,36.70563,3.956692,646.9,646.9
28,28,1329193211,2012-02-14 04:20:11,36.705567,3.956572,645.2,645.2
29,29,1329193511,2012-02-14 04:25:11,36.705456,3.956394,644.3,644.3
30,30,1329193810,2012-02-14 04:30:10,36.705447,3.956165,644.1,644.1
31,31,1329194110,2012-02-14 04:35:10,36.705467,3.955908,642.7,642.7
32,32,1329194410,2012-02-14 04:40:10,36.705351,3.955787,648.7,648.7
33,33,1329194709,2012-02-14 04:45:09,36.705191,3.955426,649.6,649.6
34,34,1329195009,2012-02-14 04:50:09,36.705191,3.955261,652.3,652.3
35,35,1329195309,2012-02-14 04:55:09,36.705306,3.955038,651.3,651.3
36,36,1329195609,2012-02-14 05:00:09,36.705409,3.954778,652.6,652.6
37,37,1329195909,2012-02-14 05:05:09,36.705407,3.954698,672.0,672.0
38,38,1329196210,2012-02-14 05:10:10,36.705835,3.954345,652.3,652.3
39,39,1329196510,2012-02-14 05:15:10,36.705773,3.954026,652.7,652.7
40,40,1329196810,2012-02-14 05:20:10,36.705883,3.953906,653.4,653.4
41,41,1329197108,2012-02-14 05:25:08,36.705955,3.953657,653.3,653.3
42,42,1329197408,2012-02-14 05:30:08,36.706139,3.953387,652.1,652.1
